no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
356,Tresa,Scorthorne,tscorthorne9v@posterous.com,Perempuan,SMA 3,7.5,6.5,8,7.5,7.5,7,9,9,8,7,7,tidak lulus
357,Flory,Raynard,fraynard9w@google.ru,Perempuan,SMA 8,8,6.5,6.5,7.5,8,7.5,6.5,9,7,9,6.5,pertimbangan
358,Feliza,Pendock,fpendock9x@canalblog.com,Perempuan,SMA 8,8.5,8.5,9,6.5,7,7.5,8.5,9,7,6.5,7,pertimbangan
359,Bari,Lucia,blucia9y@epa.gov,Perempuan,SMA 4,8,6.5,7,7.5,6.5,7,7,9,7.5,8.5,8.5,lulus
360,Culver,Dadge,cdadge9z@about.me,Perempuan,SMA 3,9,8.5,7,7,7.5,7,7,8.5,7,7,7.5,pertimbangan
361,Jeanelle,Turbill,jturbilla0@china.com.cn,Laki-laki,SMA 8,7.5,8.5,7,7,8,9,7.5,7.5,8.5,6.5,7.5,lulus
362,Elias,Izakoff,eizakoffa1@vkontakte.ru,Perempuan,SMA 4,7.5,8.5,7.5,7,7.5,9,6.5,7,9,7.5,7,pertimbangan
363,Andrei,Greenleaf,agreenleafa2@mayoclinic.com,Laki-laki,SMA 1,7,9,9,7.5,9,9,8.5,7.5,8.5,8,8.5,tidak lulus
364,Ursola,Caroll,ucarolla3@pagesperso-orange.fr,Perempuan,SMA 5,9,7.5,6.5,7,8,7,8,9,9,8,8,pertimbangan
365,Christiano,Skirvane,cskirvanea4@wp.com,Laki-laki,SMA 7,6.5,9,8.5,9,7.5,7.5,7,6.5,7.5,9,6.5,tidak lulus
366,Engelbert,Nenci,enencia5@usa.gov,Perempuan,SMA 9,9,7,7,7.5,8.5,6.5,8,6.5,8,8,8.5,pertimbangan
367,Minerva,Ciobutaro,mciobutaroa6@etsy.com,Laki-laki,SMA 1,8.5,7,8,7,6.5,8,9,7.5,7,7.5,9,tidak lulus
368,Ham,Cornforth,hcornfortha7@skyrock.com,Perempuan,SMA 11,9,9,8.5,7,9,7,9,8,9,8.5,8,tidak lulus
369,Gael,Beresfore,gberesforea8@unicef.org,Perempuan,SMA 10,7,7.5,9,6.5,8.5,9,9,8,7.5,8,9,lulus
370,Lynea,Skoughman,lskoughmana9@biblegateway.com,Laki-laki,SMA 7,9,6.5,7.5,7.5,8.5,7,9,8,8.5,9,8,tidak lulus
371,Hunter,Nowakowski,hnowakowskiaa@about.me,Laki-laki,SMA 6,7,7.5,8,8,8.5,6.5,7.5,9,7.5,8,7,lulus
372,Pammy,O' Brian,pobrianab@shareasale.com,Perempuan,SMA 11,8,7.5,7.5,9,7.5,9,8.5,9,7,6.5,6.5,pertimbangan
373,Jennine,Zecchetti,jzecchettiac@gmpg.org,Perempuan,SMA 11,7.5,8.5,9,9,8,7,6.5,9,7.5,8.5,8.5,lulus
374,Willi,Sowrey,wsowreyad@ning.com,Perempuan,SMA 11,9,7.5,9,7,6.5,7,8.5,8,8,8.5,9,tidak lulus
375,Cari,Tinson,ctinsonae@oaic.gov.au,Laki-laki,SMA 5,9,7.5,6.5,7,8.5,8.5,7.5,8,8,8.5,8,pertimbangan
376,Dionisio,Burnhams,dburnhamsaf@liveinternet.ru,Laki-laki,SMA 10,8,7.5,6.5,7,8,9,8,7,6.5,8.5,7,lulus
377,Gavin,Mion,gmionag@nymag.com,Laki-laki,SMA 2,7,7,9,8,8.5,8,6.5,8,9,8,7,pertimbangan
378,Rickie,Parfitt,rparfittah@miitbeian.gov.cn,Laki-laki,SMA 8,9,8,7,6.5,8,8,6.5,8.5,8,7.5,7,pertimbangan
379,Sancho,Deners,sdenersai@ycombinator.com,Laki-laki,SMA 10,8,7,8.5,9,6.5,9,7.5,9,6.5,9,7.5,pertimbangan
380,Mathian,Iveagh,miveaghaj@smugmug.com,Perempuan,SMA 8,9,9,6.5,9,7.5,8,9,7.5,8.5,7,6.5,lulus
381,Brennen,Raubenheimers,braubenheimersak@multiply.com,Laki-laki,SMA 3,9,6.5,7.5,6.5,9,8,8.5,7,8.5,9,8.5,pertimbangan
382,Abbey,Philcock,aphilcockal@google.cn,Perempuan,SMA 4,8,8,8,7.5,6.5,7,8.5,8,9,6.5,8.5,pertimbangan
383,Alexis,Eglaise,aeglaiseam@amazon.de,Perempuan,SMA 1,8.5,7,7,8,7.5,6.5,9,6.5,7,6.5,7,lulus
384,Darcey,Bouda,dboudaan@rediff.com,Laki-laki,SMA 2,8,8.5,8.5,6.5,8,6.5,8.5,7.5,8,7.5,8,tidak lulus
385,Derril,Patty,dpattyao@blogger.com,Laki-laki,SMA 1,8,6.5,8.5,6.5,7,8,8,8,7.5,6.5,7,tidak lulus
386,Lura,Nanuccioi,lnanuccioiap@icq.com,Laki-laki,SMA 11,9,6.5,6.5,7.5,9,7.5,8.5,7,6.5,8,7,pertimbangan
387,Pansie,Sandbatch,psandbatchaq@ycombinator.com,Laki-laki,SMA 9,9,9,7,9,6.5,9,7.5,8.5,7,7.5,8,lulus
388,Olivie,Gosalvez,ogosalvezar@alibaba.com,Perempuan,SMA 8,7.5,7,6.5,9,7.5,9,9,6.5,8,7,9,pertimbangan
389,Colet,Farady,cfaradyas@digg.com,Laki-laki,SMA 8,7.5,7.5,8,9,7,7,7.5,8.5,7,7,8,pertimbangan
390,Anna-diane,Pilipets,apilipetsat@seattletimes.com,Perempuan,SMA 3,7.5,7.5,8.5,8.5,8.5,7.5,6.5,7,7,7,9,tidak lulus
391,Tandy,Death,tdeathau@zimbio.com,Laki-laki,SMA 1,6.5,8.5,9,6.5,7.5,6.5,8,7,8.5,9,7,tidak lulus
392,Golda,Wimbury,gwimburyav@fc2.com,Laki-laki,SMA 2,8.5,7,7.5,7.5,9,7,9,6.5,6.5,9,9,tidak lulus
393,Sigismund,Waller,swalleraw@rambler.ru,Laki-laki,SMA 8,7,8,6.5,6.5,8,7.5,9,6.5,8,8.5,6.5,lulus
394,Padriac,Lougheed,plougheedax@ycombinator.com,Perempuan,SMA 3,6.5,9,7.5,7.5,8,8,6.5,8,6.5,7,8,tidak lulus
395,Althea,Chapelhow,achapelhoway@businessinsider.com,Laki-laki,SMA 4,6.5,6.5,9,7.5,7.5,8.5,8.5,7.5,9,9,6.5,pertimbangan
396,Kalvin,Dupoy,kdupoyaz@toplist.cz,Perempuan,SMA 11,7,7.5,8,6.5,6.5,8,7.5,9,7.5,8.5,7.5,lulus
397,Fleming,Tuckwood,ftuckwoodb0@blinklist.com,Perempuan,SMA 6,8,9,7.5,8,7,6.5,7.5,8,8.5,7,9,lulus
398,Fairleigh,Radoux,fradouxb1@chronoengine.com,Perempuan,SMA 3,8.5,7.5,8.5,8,7,9,9,7.5,9,8,6.5,lulus
399,Claudius,Forsdicke,cforsdickeb2@trellian.com,Laki-laki,SMA 3,7.5,6.5,8.5,6.5,6.5,6.5,8,8.5,7,7,8,pertimbangan
400,Layne,Krochmann,lkrochmannb3@hhs.gov,Laki-laki,SMA 5,8,6.5,8.5,9,8,8,8,8,8,8.5,8.5,lulus
401,Annabelle,Gandrich,agandrichb4@npr.org,Perempuan,SMA 9,7,8,8.5,8.5,7,7.5,8.5,6.5,8,9,9,tidak lulus
402,Bianka,Scoffham,bscoffhamb5@blogspot.com,Perempuan,SMA 2,8.5,9,6.5,8,6.5,9,8.5,9,8.5,9,9,lulus
403,Alberta,Shilton,ashiltonb6@typepad.com,Laki-laki,SMA 2,8.5,8.5,7.5,8,7.5,6.5,6.5,7,8.5,8,9,tidak lulus
404,Curry,Bolles,cbollesb7@skype.com,Laki-laki,SMA 7,8,9,8.5,9,8,6.5,6.5,8,9,7,9,tidak lulus
405,Tommie,Ruben,trubenb8@wsj.com,Perempuan,SMA 5,9,8.5,7,8.5,7.5,6.5,8.5,7,9,8.5,7.5,lulus
406,Jacquenette,Broggio,jbroggiob9@vimeo.com,Laki-laki,SMA 9,7.5,8,7,8.5,8,7.5,7.5,6.5,8.5,8.5,7,pertimbangan
407,Lenette,Devereu,ldevereuba@360.cn,Laki-laki,SMA 11,8.5,7.5,6.5,7.5,8.5,8.5,7.5,7.5,7,7.5,7.5,pertimbangan
408,Dalt,Maslin,dmaslinbb@1688.com,Perempuan,SMA 5,6.5,8,8,9,9,7.5,6.5,9,8,7,9,lulus
409,Linnell,Stain,lstainbc@cornell.edu,Perempuan,SMA 2,6.5,9,9,7,6.5,7.5,7,7,9,9,7.5,pertimbangan
410,Conway,Gallant,cgallantbd@cornell.edu,Perempuan,SMA 1,9,8.5,8.5,7.5,7.5,7,8,8,8,6.5,6.5,lulus
411,Maxy,Tarbox,mtarboxbe@biglobe.ne.jp,Laki-laki,SMA 5,7.5,8.5,9,8.5,9,6.5,7.5,8,7,8.5,8,tidak lulus
412,Mellisent,Brastead,mbrasteadbf@craigslist.org,Laki-laki,SMA 9,9,7.5,8,8,6.5,7.5,7.5,7,6.5,8.5,7,lulus
413,Sigismundo,Prangnell,sprangnellbg@mlb.com,Laki-laki,SMA 10,9,7.5,8.5,9,7,9,7,9,7,9,6.5,lulus
414,Keir,Darwent,kdarwentbh@digg.com,Perempuan,SMA 4,6.5,6.5,8,7.5,6.5,7.5,6.5,8.5,8,8.5,7.5,pertimbangan
415,Ham,Manthroppe,hmanthroppebi@jiathis.com,Laki-laki,SMA 6,7,9,8.5,7,7.5,7,8,9,7,6.5,9,pertimbangan
416,Jeana,Rubinfajn,jrubinfajnbj@squarespace.com,Laki-laki,SMA 3,8,9,7,8.5,7,7.5,6.5,9,9,8.5,8,tidak lulus
417,Vin,Dorgan,vdorganbk@answers.com,Laki-laki,SMA 7,8,7,6.5,8.5,6.5,7.5,7.5,8.5,8.5,7.5,7.5,lulus
418,Moselle,Trayte,mtraytebl@unesco.org,Laki-laki,SMA 2,7,6.5,8,7.5,8,6.5,8,8.5,6.5,7.5,8.5,tidak lulus
419,Calida,Kaines,ckainesbm@merriam-webster.com,Laki-laki,SMA 8,9,6.5,8.5,8,6.5,8.5,7,6.5,8,8.5,6.5,lulus
420,Grannie,Wintringham,gwintringhambn@google.com.br,Perempuan,SMA 2,8.5,7.5,9,7,7.5,8.5,8,7,8.5,6.5,8,tidak lulus
421,Ladonna,Beachamp,lbeachampbo@senate.gov,Perempuan,SMA 5,9,9,6.5,8,8,7,7,8,6.5,7,8,pertimbangan
422,Moll,Becaris,mbecarisbp@hostgator.com,Perempuan,SMA 2,7,9,8,8.5,9,9,8.5,7.5,8.5,8,8,tidak lulus
423,Jenni,Hancke,jhanckebq@ebay.co.uk,Laki-laki,SMA 2,7.5,9,9,8,8,7,7.5,8.5,8.5,8.5,9,pertimbangan
424,Odie,Leheude,oleheudebr@netvibes.com,Perempuan,SMA 10,9,8,8,7.5,8,8.5,7,7.5,8.5,7.5,6.5,lulus
425,Roch,Hambridge,rhambridgebs@aboutads.info,Laki-laki,SMA 2,7.5,6.5,8.5,9,7,7.5,7,7,8,7.5,7,lulus
426,Sallyanne,Epine,sepinebt@globo.com,Laki-laki,SMA 8,8,7,7.5,8,7.5,8,9,8.5,6.5,7,8.5,pertimbangan
427,Hollie,Youd,hyoudbu@psu.edu,Perempuan,SMA 10,7.5,9,7,8,9,6.5,9,9,7.5,9,9,tidak lulus
428,Mischa,Wattins,mwattinsbv@mayoclinic.com,Perempuan,SMA 5,7.5,9,8,7,8.5,6.5,7,7,8,8,8.5,lulus
429,Denver,Realph,drealphbw@wikimedia.org,Perempuan,SMA 4,8,8.5,7,6.5,9,9,9,8,7.5,8,7.5,lulus
430,Chilton,Izakoff,cizakoffbx@ox.ac.uk,Perempuan,SMA 1,7.5,7.5,7,8,7.5,8,9,7.5,9,8,6.5,pertimbangan
431,Roarke,Merrisson,rmerrissonby@fema.gov,Laki-laki,SMA 3,9,9,7,7,9,7.5,8.5,7.5,7.5,7.5,7.5,pertimbangan
432,Ricki,Purshouse,rpurshousebz@twitpic.com,Perempuan,SMA 9,7,9,8.5,7,7,8.5,9,8,8.5,6.5,7.5,pertimbangan
433,Marline,Quarrington,mquarringtonc0@arstechnica.com,Laki-laki,SMA 1,7.5,8,6.5,6.5,8.5,8,6.5,7.5,7.5,7,8.5,tidak lulus
434,Allen,Pluvier,apluvierc1@photobucket.com,Laki-laki,SMA 8,6.5,7,7,8.5,9,7,9,7.5,6.5,8.5,7,tidak lulus
435,Cahra,Wathell,cwathellc2@parallels.com,Laki-laki,SMA 10,9,8.5,9,7.5,6.5,9,6.5,6.5,9,8.5,6.5,tidak lulus
436,Hewet,Di Dello,hdidelloc3@live.com,Perempuan,SMA 2,6.5,7,6.5,7,7.5,7,8,8.5,8,7.5,8.5,lulus
437,Sophronia,Simoens,ssimoensc4@xrea.com,Laki-laki,SMA 1,9,8.5,7.5,7.5,8,8.5,7,8.5,8.5,7,8.5,tidak lulus
438,Tatum,Bath,tbathc5@statcounter.com,Perempuan,SMA 6,8.5,8.5,8,7,7.5,8.5,8,8.5,7.5,8,8,tidak lulus
439,Ninon,Ould,nouldc6@clickbank.net,Perempuan,SMA 5,7,6.5,8.5,6.5,7,8,7,9,9,9,8.5,tidak lulus
440,Corabella,Yearnsley,cyearnsleyc7@theatlantic.com,Perempuan,SMA 3,7,9,6.5,8.5,8,7,8.5,9,7.5,8,7.5,pertimbangan
441,Laurella,Bedwell,lbedwellc8@plala.or.jp,Laki-laki,SMA 7,8.5,9,7.5,8,8.5,8.5,8.5,8,7,7.5,7.5,lulus
442,Thornton,Bernasek,tbernasekc9@salon.com,Laki-laki,SMA 1,9,9,8,9,7,6.5,8.5,8,7.5,6.5,6.5,pertimbangan
443,Trudie,Marte,tmarteca@linkedin.com,Perempuan,SMA 11,7,6.5,8,8,9,8.5,7.5,9,8,9,9,tidak lulus
444,Adah,Hatry,ahatrycb@europa.eu,Perempuan,SMA 2,6.5,7,6.5,6.5,7.5,7.5,6.5,6.5,7.5,7,7.5,tidak lulus
445,Clareta,Wingeatt,cwingeattcc@ustream.tv,Laki-laki,SMA 5,8,6.5,7.5,8,9,9,8,7.5,9,8.5,7.5,lulus
446,Zulema,Singh,zsinghcd@jiathis.com,Laki-laki,SMA 8,7,7,9,6.5,9,6.5,7.5,6.5,6.5,8.5,8,tidak lulus
447,Rickie,Bunney,rbunneyce@craigslist.org,Laki-laki,SMA 2,7.5,6.5,6.5,6.5,8.5,8.5,8.5,7.5,8.5,8,6.5,tidak lulus
448,Skyler,Sacase,ssacasecf@dagondesign.com,Laki-laki,SMA 1,6.5,7.5,7.5,6.5,9,8.5,6.5,7,7,6.5,9,tidak lulus
449,Adelaide,De Clairmont,adeclairmontcg@pinterest.com,Laki-laki,SMA 3,8.5,6.5,8.5,8.5,8.5,7.5,8.5,8.5,9,7.5,6.5,lulus
450,Claiborn,Elves,celvesch@prlog.org,Laki-laki,SMA 3,8.5,9,6.5,7.5,7.5,6.5,7,6.5,7.5,7,9,lulus
451,Paolo,Tuckey,ptuckeyci@abc.net.au,Perempuan,SMA 6,8,8.5,6.5,6.5,8,7.5,8.5,8.5,7.5,9,6.5,pertimbangan
452,Aeriell,Rosenstein,arosensteincj@gnu.org,Perempuan,SMA 3,8.5,7,7,8,8,7,8,8,6.5,8.5,8.5,tidak lulus
453,Kaylyn,Duckfield,kduckfieldck@dion.ne.jp,Laki-laki,SMA 4,7,6.5,7,9,8,9,8,9,8,6.5,8.5,pertimbangan
454,Bernadene,Mariault,bmariaultcl@alexa.com,Perempuan,SMA 8,7,7,8,6.5,7,6.5,7,7.5,6.5,8,8,pertimbangan
455,Rozalin,Storkes,rstorkescm@bloglovin.com,Perempuan,SMA 3,7,7,7.5,9,6.5,7,8,8,8,6.5,7.5,tidak lulus
456,Sashenka,Lindsey,slindseycn@istockphoto.com,Perempuan,SMA 8,8,8.5,7.5,7,8.5,7,6.5,6.5,8.5,7,6.5,pertimbangan
457,Neda,Drinkale,ndrinkaleco@hud.gov,Laki-laki,SMA 5,8.5,7,6.5,7.5,8.5,6.5,8.5,9,8,7,8.5,pertimbangan
458,Zebedee,Ducroe,zducroecp@fotki.com,Perempuan,SMA 10,6.5,7.5,9,7.5,6.5,9,8.5,6.5,7.5,9,7.5,pertimbangan
459,Jo-anne,Maybery,jmayberycq@chron.com,Perempuan,SMA 5,7,7,7.5,7.5,8,6.5,6.5,8.5,6.5,8.5,9,tidak lulus
460,Duffy,Rhead,drheadcr@dedecms.com,Perempuan,SMA 8,8,8.5,8,7.5,7.5,9,9,7.5,9,9,8.5,lulus
461,Adelina,Sherreard,asherreardcs@wikipedia.org,Laki-laki,SMA 3,8.5,7,8.5,8.5,6.5,8.5,6.5,9,8,6.5,7.5,pertimbangan
462,Karlyn,Derisley,kderisleyct@unc.edu,Perempuan,SMA 10,7,9,8,7,7.5,8,8.5,8.5,9,7.5,7.5,pertimbangan
463,Kort,Pechell,kpechellcu@bandcamp.com,Perempuan,SMA 2,9,9,8,7,8.5,7,7,7,9,6.5,8,pertimbangan
464,Shay,McCord,smccordcv@shareasale.com,Perempuan,SMA 3,9,8.5,7,6.5,7,8,9,7,8,7,6.5,tidak lulus
465,Letta,Clapp,lclappcw@chicagotribune.com,Laki-laki,SMA 5,6.5,8.5,7,8,8.5,9,8.5,6.5,8,8.5,8,tidak lulus
466,Lonnie,Birden,lbirdencx@homestead.com,Laki-laki,SMA 7,8,8,7,6.5,8,9,6.5,7,6.5,9,6.5,lulus
467,Der,Commings,dcommingscy@tripadvisor.com,Perempuan,SMA 1,7,8,6.5,8,8,8.5,6.5,7,9,8.5,7.5,lulus
468,Elvyn,Benedicte,ebenedictecz@gov.uk,Laki-laki,SMA 7,8.5,8.5,9,7,7.5,6.5,7.5,8,7.5,7,7.5,tidak lulus
469,Iris,Lamartine,ilamartined0@spotify.com,Perempuan,SMA 6,8.5,6.5,9,7.5,7,8.5,8.5,7,7.5,8.5,6.5,lulus
470,Perl,Macallam,pmacallamd1@blogtalkradio.com,Perempuan,SMA 6,7,7,6.5,8.5,9,9,8,7.5,6.5,9,9,lulus
471,Tobias,O' Ronan,toronand2@amazon.com,Laki-laki,SMA 2,9,7.5,9,9,9,7.5,7,9,9,7,8.5,pertimbangan
472,Lionel,Winchurst,lwinchurstd3@usgs.gov,Perempuan,SMA 5,8.5,8.5,7,8.5,7,8.5,7,7.5,9,9,8.5,pertimbangan
473,Lian,Philpot,lphilpotd4@mozilla.com,Perempuan,SMA 6,9,9,8.5,9,7,9,7.5,7,6.5,8.5,8.5,pertimbangan
474,Ronda,Bartels-Ellis,rbartelsellisd5@newsvine.com,Perempuan,SMA 7,8.5,8,7,8,7.5,8,9,6.5,7,8,7.5,lulus
475,Maybelle,Fenemore,mfenemored6@wired.com,Laki-laki,SMA 5,8.5,7,8,8.5,8.5,8.5,8,7,8.5,8,7,pertimbangan
476,Claus,Jentle,cjentled7@dagondesign.com,Laki-laki,SMA 6,9,8,8.5,7.5,6.5,6.5,7,8,9,7,8,tidak lulus
477,Marris,Davidovici,mdavidovicid8@nps.gov,Perempuan,SMA 7,9,9,8,6.5,7.5,8.5,7,6.5,6.5,8.5,9,lulus
478,Marya,Vasilchikov,mvasilchikovd9@myspace.com,Perempuan,SMA 9,7,8,7,8.5,9,9,8.5,7,8,8,7.5,pertimbangan
479,Jone,Bispham,jbisphamda@tripod.com,Perempuan,SMA 1,6.5,8.5,8,7.5,9,7.5,8.5,7,6.5,8,7.5,pertimbangan
480,Katinka,Kyd,kkyddb@fc2.com,Laki-laki,SMA 2,8,7,8.5,8,7,7,9,8,6.5,8,8.5,lulus
481,Jaclin,Cawdery,jcawderydc@sbwire.com,Laki-laki,SMA 10,9,8,7.5,6.5,7.5,9,8,8,7.5,7,7,lulus
482,Maddie,Jacklings,mjacklingsdd@ehow.com,Laki-laki,SMA 1,8.5,6.5,8,7,8,6.5,9,7,7.5,6.5,8,lulus
483,Ber,Wasmuth,bwasmuthde@comcast.net,Laki-laki,SMA 1,7.5,7,8.5,8.5,8.5,9,6.5,7,7,8.5,7,lulus
484,Bertie,Woolpert,bwoolpertdf@thetimes.co.uk,Perempuan,SMA 1,7.5,7,7.5,6.5,6.5,7.5,8.5,8.5,7.5,7,8.5,pertimbangan
485,Adore,Killik,akillikdg@archive.org,Laki-laki,SMA 7,6.5,8,9,8,8.5,7.5,8,9,7,9,8,pertimbangan
486,Sherie,Winwood,swinwooddh@amazonaws.com,Perempuan,SMA 9,8,6.5,6.5,9,9,6.5,7,9,8,7.5,7.5,lulus
487,Quinlan,Parman,qparmandi@loc.gov,Laki-laki,SMA 6,7.5,7,6.5,8,7.5,8,7,7.5,8.5,8,9,tidak lulus
488,Sileas,Shevlin,sshevlindj@wix.com,Laki-laki,SMA 9,6.5,7,9,6.5,8.5,7,8.5,7,7.5,6.5,8.5,lulus
489,Berke,Mutimer,bmutimerdk@narod.ru,Perempuan,SMA 6,9,8.5,7,9,7,6.5,7.5,7,7,7.5,7.5,lulus
490,Harris,McUre,hmcuredl@4shared.com,Laki-laki,SMA 8,7.5,6.5,7,8.5,7.5,8,8.5,7,6.5,7.5,7,tidak lulus
491,Esther,Kaaskooper,ekaaskooperdm@alexa.com,Laki-laki,SMA 2,9,9,7,9,9,7.5,9,7,8.5,8.5,8.5,pertimbangan
492,Giulietta,Pavlitschek,gpavlitschekdn@earthlink.net,Perempuan,SMA 1,7,9,7,8.5,9,8,8,7,8.5,9,8,tidak lulus
493,Mignonne,Bauld,mbaulddo@360.cn,Laki-laki,SMA 11,8.5,7,7,7.5,8,6.5,7.5,8,7,7.5,9,lulus
494,Arin,Pawlett,apawlettdp@yale.edu,Perempuan,SMA 4,7,6.5,7.5,8.5,6.5,7.5,8.5,8,7,9,9,tidak lulus
495,Aurthur,Gallatly,agallatlydq@discovery.com,Perempuan,SMA 2,9,8,8.5,7.5,6.5,8.5,9,7.5,8.5,7,6.5,tidak lulus
496,Davine,Fanshaw,dfanshawdr@yandex.ru,Perempuan,SMA 10,7,7.5,8,8,8,6.5,6.5,7.5,7.5,7,8.5,lulus
497,Josy,Tembey,jtembeyds@barnesandnoble.com,Laki-laki,SMA 8,9,7,8.5,8.5,7.5,7.5,8.5,8,8,8,7,lulus
498,Pamelina,Moyler,pmoylerdt@nhs.uk,Laki-laki,SMA 11,7,7.5,7,7,7.5,6.5,8,8.5,8,8,9,tidak lulus
499,Trudi,Sirett,tsirettdu@sfgate.com,Perempuan,SMA 11,9,7,7,8.5,8,6.5,7,6.5,6.5,8.5,7,lulus
500,Kingsley,Bassill,kbassilldv@wikia.com,Laki-laki,SMA 11,7.5,6.5,8,8.5,8.5,7,8.5,6.5,8,7.5,8,pertimbangan
501,Drusi,Hatliffe,dhatliffedw@illinois.edu,Perempuan,SMA 8,6.5,7,7,7,8.5,6.5,7,6.5,9,9,9,tidak lulus
502,Andeee,Dripps,adrippsdx@geocities.jp,Perempuan,SMA 4,6.5,9,6.5,6.5,8.5,9,8.5,7.5,6.5,8,7.5,tidak lulus
503,Kari,Bellenie,kbelleniedy@weibo.com,Laki-laki,SMA 3,7.5,7,6.5,8.5,9,9,6.5,6.5,8.5,6.5,7.5,tidak lulus
504,Andriana,Roj,arojdz@yellowpages.com,Perempuan,SMA 10,6.5,8.5,9,7,7.5,9,7.5,8,7.5,8.5,8.5,lulus
505,Lethia,Farr,lfarre0@gmpg.org,Perempuan,SMA 8,8,9,8,8.5,8.5,6.5,6.5,8.5,7.5,8.5,8,pertimbangan
506,Cristen,Cansdill,ccansdille1@google.com.hk,Perempuan,SMA 5,7.5,7,8,7.5,8,7.5,9,6.5,8,8,9,pertimbangan
507,Hart,Buckett,hbuckette2@deviantart.com,Perempuan,SMA 3,6.5,6.5,8,9,8.5,7.5,9,8,8,7.5,8.5,pertimbangan
508,Mavra,Friel,mfriele3@nsw.gov.au,Perempuan,SMA 8,8,8.5,8,9,6.5,8,7,8.5,8.5,6.5,8,pertimbangan
509,Terrye,Papps,tpappse4@unblog.fr,Laki-laki,SMA 3,9,7.5,7,6.5,8.5,9,9,7.5,7,9,8,pertimbangan
510,Tiphani,Fredson,tfredsone5@over-blog.com,Laki-laki,SMA 3,9,8.5,9,9,9,7,8.5,9,6.5,8.5,6.5,lulus
511,Gianina,Halfhead,ghalfheade6@4shared.com,Laki-laki,SMA 3,7.5,6.5,7,8.5,9,8.5,6.5,6.5,9,7,6.5,lulus
512,Sandro,Bisp,sbispe7@cam.ac.uk,Perempuan,SMA 5,7.5,7,6.5,7.5,8.5,8.5,8,6.5,7.5,7.5,9,tidak lulus
513,Kingston,Crosher,kcroshere8@smh.com.au,Laki-laki,SMA 4,8,7,7,7.5,9,7,8,7,7.5,6.5,6.5,pertimbangan
514,Bastien,de Broke,bdebrokee9@pinterest.com,Perempuan,SMA 11,8,8.5,7.5,7.5,6.5,6.5,8.5,9,8.5,7,7,lulus
515,Thea,Cristofanini,tcristofaniniea@bloglovin.com,Perempuan,SMA 6,8,8,8,9,9,8,8,6.5,8,8.5,9,tidak lulus
516,Jarrett,Balmann,jbalmanneb@weebly.com,Laki-laki,SMA 3,9,7,9,7.5,8.5,8.5,7.5,7,6.5,8,8.5,pertimbangan
517,Valry,Redford,vredfordec@joomla.org,Perempuan,SMA 10,8.5,9,7,8,6.5,9,8.5,6.5,8,8,8,tidak lulus
518,Iggie,Townes,itownesed@spiegel.de,Laki-laki,SMA 2,9,6.5,6.5,7.5,8.5,8.5,8,8,6.5,9,6.5,tidak lulus
519,Lanita,Polon,lpolonee@cyberchimps.com,Perempuan,SMA 4,7,9,8.5,8.5,8,7.5,9,6.5,8.5,7.5,7.5,pertimbangan
520,Meg,Morrice,mmorriceef@slate.com,Laki-laki,SMA 2,9,7,9,8,7,9,8.5,9,6.5,8.5,9,tidak lulus
521,Lea,Brandli,lbrandlieg@google.co.uk,Laki-laki,SMA 5,7.5,6.5,6.5,7.5,7.5,7.5,8.5,7,8,7,7.5,tidak lulus
522,Spenser,Panketh,spanketheh@merriam-webster.com,Perempuan,SMA 6,8,9,7,7,7.5,7,7,8.5,8,8,9,lulus
523,Libbey,Laverty,llavertyei@clickbank.net,Laki-laki,SMA 4,7,7.5,7,7,6.5,7,7.5,9,7,9,7.5,pertimbangan
524,Lily,Hryskiewicz,lhryskiewiczej@tripadvisor.com,Perempuan,SMA 1,8.5,7,7,6.5,7,9,7,9,7.5,8.5,8,pertimbangan
525,Brendis,Workman,bworkmanek@feedburner.com,Perempuan,SMA 4,7.5,8,7,9,8.5,8,9,8.5,8.5,6.5,7.5,pertimbangan
526,Sol,Geraldi,sgeraldiel@blogspot.com,Laki-laki,SMA 5,8.5,8.5,8,7.5,7.5,8,6.5,8.5,7.5,8,9,pertimbangan
527,Cristobal,Pirrey,cpirreyem@businessweek.com,Laki-laki,SMA 1,9,7.5,7,7.5,6.5,8.5,8.5,7,6.5,7.5,8,lulus
528,Bridgette,Jamison,bjamisonen@mail.ru,Laki-laki,SMA 7,8.5,8.5,8.5,8,9,7,7.5,8.5,7.5,7.5,9,pertimbangan
529,Neddie,Dufaire,ndufaireeo@slashdot.org,Laki-laki,SMA 11,8,7.5,6.5,8,8,7,6.5,7.5,6.5,7,6.5,tidak lulus
530,Dion,Madre,dmadreep@blogger.com,Laki-laki,SMA 9,6.5,9,8,8.5,7,7.5,8,6.5,7,8.5,7,lulus
531,Rora,Ridhole,rridholeeq@jimdo.com,Perempuan,SMA 10,9,7,8.5,6.5,9,9,8.5,8.5,8.5,6.5,6.5,tidak lulus
532,Gunar,Capelin,gcapeliner@senate.gov,Perempuan,SMA 3,8,9,6.5,7.5,8,7,9,8,6.5,7,7.5,pertimbangan
